device_id,boat_type
1054,supply boat
2493,speed boat
2830,safari
2894,speed boat
2979,speed boat
3325,supply boat
3356,supply boat
3511,supply boat
3531,supply boat
3555,speed boat
3585,supply boat
3720,speed boat
3996,speed boat
4171,supply boat
4255,speed boat
4259,speed boat
4403,speed boat
4451,speed boat
4538,speed boat
4586,speed boat
4729,speed boat
4794,speed boat
4924,supply boat
4990,supply boat
4992,supply boat
4994,speed boat
5031,supply boat
5093,supply boat
5141,supply boat
5144,supply boat
5267,speed boat
5287,speed boat
5338,supply boat
5411,speed boat
5474,supply boat
5560,speed boat
5707,speed boat
5754,speed boat
5912,supply boat
5915,speed boat
5950,speed boat
6149,speed boat
6180,supply boat
6312,supply boat
6349,supply boat
6403,supply boat
6454,speed boat
6642,supply boat
6645,supply boat
6650,speed boat
6794,supply boat
6798,speed boat
6809,supply boat
6856,speed boat
6867,speed boat
6885,supply boat
6886,speed boat
6887,speed boat
6898,speed boat
6932,supply boat
6936,speed boat
6982,excursion boat
6985,supply boat
7008,supply boat
7040,speed boat
7194,supply boat
7267,supply boat
7316,supply boat
7389,dinghy
7453,safari
7485,safari
7489,speed boat
7516,speed boat
7546,speed boat
7814,supply boat
8024,speed boat
8029,speed boat
8061,speed boat
8062,supply boat
8092,supply boat
8128,speed boat
8146,speed boat
8182,passenger ferry
8198,safari
8199,supply boat
8223,safari
8260,speed boat
8458,speed boat
8574,speed boat
8586,supply boat
8676,speed boat
8729,supply boat
8730,supply boat
8739,speed boat
8748,supply boat
8793,speed boat
8796,speed boat
8813,supply boat
8860,supply boat
8915,supply boat
8925,speed boat
8962,speed boat
8987,supply boat
8989,speed boat
9030,supply boat
9043,supply boat
9049,safari
9141,supply boat
9182,speed boat
9203,landing craft
9251,speed boat
9268,speed boat
9269,supply boat
9299,speed boat
9677,safari
9688,speed boat
9700,supply boat
9716,supply boat
9722,supply boat
9810,supply boat
9818,speed boat
9848,speed boat
9873,passenger ferry
9932,passenger ferry
9933,passenger ferry
9940,supply boat
10135,supply boat
10176,speed boat
10177,speed boat
10178,supply boat
10232,speed boat
10247,supply boat
10615,supply boat
10644,supply boat
10759,supply boat
10770,supply boat
10891,supply boat
10996,supply boat
11081,supply boat
11104,landing craft
11129,supply boat
11155,safari
11190,supply boat
11201,supply boat
11203,supply boat
11213,supply boat
11216,supply boat
11228,speed boat
11251,speed boat
11253,supply boat
11283,supply boat
11334,speed boat
11376,speed boat
11423,supply boat
11444,supply boat
11455,speed boat
11461,supply boat
11487,passenger ferry
11488,supply boat
11530,supply boat
11557,supply boat
11593,passenger ferry
11618,safari
11754,passenger ferry
11802,supply boat
11895,speed boat
11918,supply boat
11927,supply boat
11943,passenger ferry
12013,supply boat
12137,speed boat
12158,speed boat
12203,speed boat
12228,speed boat
12258,supply boat
12291,speed boat
12356,supply boat
12376,supply boat
12588,speed boat
12766,supply boat
12869,supply boat
12879,supply boat
12929,speed boat
12951,speed boat
13035,supply boat
13073,speed boat
13120,supply boat
13121,supply boat
13122,supply boat
13123,supply boat
13125,supply boat
13146,supply boat
13149,speed boat
13150,supply boat
13172,speed boat
13193,speed boat
13219,supply boat
13225,supply boat
13287,speed boat
13552,supply boat
13565,supply boat
13587,supply boat
13673,supply boat
13688,speed boat
13691,supply boat
13708,safari
13728,speed boat
13928,speed boat
13964,speed boat
14081,supply boat
14142,landing craft
14155,supply boat
14162,supply boat
14166,speed boat
14167,speed boat
14169,safari
14204,speed boat
14208,speed boat
14268,landing craft
14292,speed boat
14306,supply boat
14323,supply boat
14372,speed boat
14455,speed boat
14459,fishing boat
14474,speed boat
14488,speed boat
14552,speed boat
14587,supply boat
14608,speed boat
14623,speed boat
14718,supply boat
14723,supply boat
14758,speed boat
14759,speed boat
14842,passenger ferry
14855,supply boat
14883,supply boat
14905,safari
14910,supply boat
14913,speed boat
14927,passenger ferry
14933,supply boat
14945,speed boat
14946,speed boat
14947,speed boat
14948,supply boat
14949,speed boat
15004,speed boat
15029,supply boat
15037,supply boat
15081,supply boat
15102,speed boat
15104,supply boat
15138,safari
15167,supply boat
15189,speed boat
15226,supply boat
15235,supply boat
15306,speed boat
15332,speed boat
15394,speed boat
15499,speed boat
15586,supply boat
15587,safari
15588,supply boat
15600,speed boat
15664,supply boat
15683,supply boat
15705,tug boat
15724,supply boat
